T,a,P,rho
279.524500000000,335.162235270220,86366.5661096360,1.07637567235065
279.518000000000,335.158338353859,86356.0110007570,1.07626915267498
279.511500000000,335.154441392189,86345.4569364387,1.07616264106394
279.505000000000,335.150544385206,86334.9039166023,1.07605613751712
279.498500000000,335.146647332910,86324.3519411685,1.07594964203409
279.492000000000,335.142750235299,86313.8010100582,1.07584315461443
279.485500000000,335.138853092371,86303.2511231925,1.07573667525771
279.479000000000,335.134955904125,86292.7022804921,1.07563020396351
279.472500000000,335.131058670559,86282.1544818782,1.07552374073141
279.466000000000,335.127161391672,86271.6077272715,1.07541728556098
279.459500000000,335.123264067462,86261.0620165931,1.07531083845181
279.453000000000,335.119366697927,86250.5173497639,1.07520439940346
279.446500000000,335.115469283067,86239.9737267048,1.07509796841552
279.440000000000,335.111571822878,86229.4311473370,1.07499154548757
279.433500000000,335.107674317360,86218.8896115810,1.07488513061917
279.427000000000,335.103776766512,86208.3491193582,1.07477872380992
279.420500000000,335.099879170330,86197.8096705894,1.07467232505937
279.414000000000,335.095981528815,86187.2712651954,1.07456593436712
279.407500000000,335.092083841964,86176.7339030975,1.07445955173274
279.401000000000,335.088186109776,86166.1975842165,1.07435317715580
279.394500000000,335.084288332249,86155.6623084735,1.07424681063589
279.388000000000,335.080390509382,86145.1280757893,1.07414045217257
279.381500000000,335.076492641173,86134.5948860850,1.07403410176543
279.375000000000,335.072594727620,86124.0627392817,1.07392775941405
279.368500000000,335.068696768722,86113.5316353001,1.07382142511800
279.362000000000,335.064798764478,86103.0015740616,1.07371509887686
279.355500000000,335.060900714885,86092.4725554870,1.07360878069020
279.349000000000,335.057002619942,86081.9445794973,1.07350247055761
279.342500000000,335.053104479648,86071.4176460135,1.07339616847866
279.336000000000,335.049206294001,86060.8917549567,1.07328987445292
279.329500000000,335.045308062999,86050.3669062480,1.07318358847999
279.323000000000,335.041409786641,86039.8430998082,1.07307731055942
279.316500000000,335.037511464925,86029.3203355585,1.07297104069080
279.310000000000,335.033613097850,86018.7986134200,1.07286477887371
279.303500000000,335.029714685414,86008.2779333135,1.07275852510773
279.297000000000,335.025816227616,85997.7582951603,1.07265227939243
279.290500000000,335.021917724453,85987.2396988813,1.07254604172738
279.284000000000,335.018019175924,85976.7221443977,1.07243981211218
279.277500000000,335.014120582029,85966.2056316303,1.07233359054638
279.271000000000,335.010221942764,85955.6901605005,1.07222737702958
279.264500000000,335.006323258129,85945.1757309292,1.07212117156135
279.258000000000,335.002424528122,85934.6623428374,1.07201497414126
279.251500000000,334.998525752741,85924.1499961462,1.07190878476889
279.245000000000,334.994626931985,85913.6386907769,1.07180260344383
279.238500000000,334.990728065853,85903.1284266503,1.07169643016565
279.232000000000,334.986829154342,85892.6192036876,1.07159026493392
279.225500000000,334.982930197450,85882.1110218098,1.07148410774822
279.219000000000,334.979031195178,85871.6038809383,1.07137795860814
279.212500000000,334.975132147522,85861.0977809939,1.07127181751324
279.206000000000,334.971233054482,85850.5927218977,1.07116568446311
279.199500000000,334.967333916055,85840.0887035712,1.07105955945732
279.193000000000,334.963434732241,85829.5857259349,1.07095344249546
279.186500000000,334.959535503037,85819.0837889104,1.07084733357709
279.180000000000,334.955636228441,85808.5828924187,1.07074123270180
279.173500000000,334.951736908454,85798.0830363809,1.07063513986916
279.167000000000,334.947837543072,85787.5842207180,1.07052905507875
279.160500000000,334.943938132294,85777.0864453513,1.07042297833015
279.154000000000,334.940038676119,85766.5897102021,1.07031690962294
279.147500000000,334.936139174545,85756.0940151911,1.07021084895669
279.141000000000,334.932239627570,85745.5993602398,1.07010479633099
279.134500000000,334.928340035193,85735.1057452692,1.06999875174540
279.128000000000,334.924440397413,85724.6131702005,1.06989271519951
279.121500000000,334.920540714227,85714.1216349549,1.06978668669289
279.115000000000,334.916640985634,85703.6311394534,1.06968066622513
279.108500000000,334.912741211633,85693.1416836175,1.06957465379580
279.102000000000,334.908841392221,85682.6532673679,1.06946864940447
279.095500000000,334.904941527398,85672.1658906262,1.06936265305073
279.089000000000,334.901041617162,85661.6795533134,1.06925666473416
279.082500000000,334.897141661511,85651.1942553506,1.06915068445432
279.076000000000,334.893241660443,85640.7099966592,1.06904471221080
279.069500000000,334.889341613958,85630.2267771603,1.06893874800318
279.063000000000,334.885441522052,85619.7445967750,1.06883279183104
279.056500000000,334.881541384726,85609.2634554246,1.06872684369394
279.050000000000,334.877641201977,85598.7833530303,1.06862090359148
279.043500000000,334.873740973803,85588.3042895133,1.06851497152322
279.037000000000,334.869840700204,85577.8262647948,1.06840904748875
279.030500000000,334.865940381177,85567.3492787960,1.06830313148764
279.024000000000,334.862040016721,85556.8733314382,1.06819722351947
279.017500000000,334.858139606834,85546.3984226425,1.06809132358383
279.011000000000,334.854239151515,85535.9245523302,1.06798543168028
279.004500000000,334.850338650762,85525.4517204226,1.06787954780840
278.998000000000,334.846438104574,85514.9799268409,1.06777367196778
278.991500000000,334.842537512948,85504.5091715062,1.06766780415798
278.985000000000,334.838636875884,85494.0394543400,1.06756194437860
278.978500000000,334.834736193379,85483.5707752634,1.06745609262920
278.972000000000,334.830835465433,85473.1031341976,1.06735024890937
278.965500000000,334.826934692044,85462.6365310639,1.06724441321868
278.959000000000,334.823033873209,85452.1709657837,1.06713858555671
278.952500000000,334.819133008928,85441.7064382781,1.06703276592304
278.946000000000,334.815232099198,85431.2429484683,1.06692695431724
278.939500000000,334.811331144019,85420.7804962759,1.06682115073890
278.933000000000,334.807430143389,85410.3190816220,1.06671535518760
278.926500000000,334.803529097305,85399.8587044278,1.06660956766290
278.920000000000,334.799628005767,85389.3993646146,1.06650378816439
278.913500000000,334.795726868773,85378.9410621038,1.06639801669165
278.907000000000,334.791825686321,85368.4837968167,1.06629225324425
278.900500000000,334.787924458410,85358.0275686744,1.06618649782178
278.894000000000,334.784023185038,85347.5723775986,1.06608075042380
278.887500000000,334.780121866203,85337.1182235101,1.06597501104991
278.881000000000,334.776220501905,85326.6651063306,1.06586927969967
278.874500000000,334.772319092141,85316.2130259812,1.06576355637267
278.868000000000,334.768417636909,85305.7619823834,1.06565784106848
278.861500000000,334.764516136209,85295.3119754584,1.06555213378669
278.855000000000,334.760614590038,85284.8630051276,1.06544643452686
278.848500000000,334.756712998395,85274.4150713123,1.06534074328858
278.842000000000,334.752811361279,85263.9681739338,1.06523506007143
278.835500000000,334.748909678687,85253.5223129135,1.06512938487498
278.829000000000,334.745007950619,85243.0774881727,1.06502371769882
278.822500000000,334.741106177072,85232.6336996328,1.06491805854251
278.816000000000,334.737204358046,85222.1909472151,1.06481240740565
278.809500000000,334.733302493537,85211.7492308410,1.06470676428780
278.803000000000,334.729400583546,85201.3085504319,1.06460112918855
278.796500000000,334.725498628070,85190.8689059091,1.06449550210747
278.790000000000,334.721596627107,85180.4302971939,1.06438988304415
278.783500000000,334.717694580657,85169.9927242079,1.06428427199815
278.777000000000,334.713792488717,85159.5561868722,1.06417866896907
278.770500000000,334.709890351286,85149.1206851084,1.06407307395647
278.764000000000,334.705988168362,85138.6862188377,1.06396748695993
278.757500000000,334.702085939945,85128.2527879818,1.06386190797905
278.751000000000,334.698183666031,85117.8203924617,1.06375633701338
278.744500000000,334.694281346619,85107.3890321991,1.06365077406252
278.738000000000,334.690378981709,85096.9587071154,1.06354521912603
278.731500000000,334.686476571298,85086.5294171317,1.06343967220350
278.725000000000,334.682574115385,85076.1011621697,1.06333413329451
278.718500000000,334.678671613968,85065.6739421507,1.06322860239863
278.712000000000,334.674769067045,85055.2477569963,1.06312307951545
278.705500000000,334.670866474616,85044.8226066276,1.06301756464453
278.699000000000,334.666963836677,85034.3984909663,1.06291205778547
278.692500000000,334.663061153229,85023.9754099339,1.06280655893783
278.686000000000,334.659158424269,85013.5533634514,1.06270106810121
278.679500000000,334.655255649796,85003.1323514406,1.06259558527516
278.673000000000,334.651352829807,84992.7123738230,1.06249011045928
278.666500000000,334.647449964302,84982.2934305198,1.06238464365315
278.660000000000,334.643547053279,84971.8755214526,1.06227918485633
278.653500000000,334.639644096736,84961.4586465428,1.06217373406842
278.647000000000,334.635741094671,84951.0428057119,1.06206829128898
278.640500000000,334.631838047084,84940.6279988814,1.06196285651760
278.634000000000,334.627934953972,84930.2142259726,1.06185742975385
278.627500000000,334.624031815335,84919.8014869073,1.06175201099732
278.621000000000,334.620128631169,84909.3897816066,1.06164660024758
278.614500000000,334.616225401474,84898.9791099922,1.06154119750421
278.608000000000,334.612322126248,84888.5694719856,1.06143580276680
278.601500000000,334.608418805490,84878.1608675082,1.06133041603491
278.595000000000,334.604515439197,84867.7532964814,1.06122503730812
278.588500000000,334.600612027369,84857.3467588270,1.06111966658603
278.582000000000,334.596708570004,84846.9412544663,1.06101430386820
278.575500000000,334.592805067099,84836.5367833208,1.06090894915421
278.569000000000,334.588901518655,84826.1333453121,1.06080360244364
278.562500000000,334.584997924668,84815.7309403616,1.06069826373607
278.556000000000,334.581094285137,84805.3295683910,1.06059293303109
278.549500000000,334.577190600062,84794.9292293215,1.06048761032826
278.543000000000,334.573286869439,84784.5299230751,1.06038229562717
278.536500000000,334.569383093268,84774.1316495729,1.06027698892739
278.530000000000,334.565479271547,84763.7344087366,1.06017169022851
278.523500000000,334.561575404274,84753.3382004877,1.06006639953010
278.517000000000,334.557671491449,84742.9430247480,1.05996111683175
278.510500000000,334.553767533068,84732.5488814387,1.05985584213303
278.504000000000,334.549863529131,84722.1557704814,1.05975057543351
278.497500000000,334.545959479636,84711.7636917979,1.05964531673279
278.491000000000,334.542055384581,84701.3726453095,1.05954006603043
278.484500000000,334.538151243965,84690.9826309379,1.05943482332602
278.478000000000,334.534247057786,84680.5936486046,1.05932958861913
278.471500000000,334.530342826043,84670.2056982314,1.05922436190935
278.465000000000,334.526438548734,84659.8187797395,1.05911914319625
278.458500000000,334.522534225857,84649.4328930507,1.05901393247942
278.452000000000,334.518629857412,84639.0480380867,1.05890872975842
278.445500000000,334.514725443395,84628.6642147688,1.05880353503285
278.439000000000,334.510820983806,84618.2814230188,1.05869834830227
278.432500000000,334.506916478643,84607.8996627583,1.05859316956627
278.426000000000,334.503011927905,84597.5189339087,1.05848799882443
278.419500000000,334.499107331589,84587.1392363918,1.05838283607633
278.413000000000,334.495202689695,84576.7605701291,1.05827768132154
278.406500000000,334.491298002220,84566.3829350424,1.05817253455964
278.400000000000,334.487393269163,84556.0063310531,1.05806739579022
278.393500000000,334.483488490523,84545.6307580830,1.05796226501285
278.387000000000,334.479583666298,84535.2562160536,1.05785714222711
278.380500000000,334.475678796486,84524.8827048865,1.05775202743259
278.374000000000,334.471773881086,84514.5102245035,1.05764692062885
278.367500000000,334.467868920095,84504.1387748261,1.05754182181548
278.361000000000,334.463963913513,84493.7683557761,1.05743673099205
278.354500000000,334.460058861338,84483.3989672749,1.05733164815816
278.348000000000,334.456153763569,84473.0306092443,1.05722657331337
278.341500000000,334.452248620203,84462.6632816060,1.05712150645726
278.335000000000,334.448343431239,84452.2969842816,1.05701644758942
278.328500000000,334.444438196676,84441.9317171927,1.05691139670942
278.322000000000,334.440532916511,84431.5674802612,1.05680635381685
278.315500000000,334.436627590744,84421.2042734085,1.05670131891128
278.309000000000,334.432722219372,84410.8420965563,1.05659629199229
278.302500000000,334.428816802395,84400.4809496264,1.05649127305945
278.296000000000,334.424911339810,84390.1208325406,1.05638626211236
278.289500000000,334.421005831616,84379.7617452203,1.05628125915059
278.283000000000,334.417100277812,84369.4036875874,1.05617626417371
278.276500000000,334.413194678395,84359.0466595635,1.05607127718132
278.270000000000,334.409289033364,84348.6906610703,1.05596629817298
278.263500000000,334.405383342718,84338.3356920296,1.05586132714827
278.257000000000,334.401477606454,84327.9817523630,1.05575636410678
278.250500000000,334.397571824572,84317.6288419923,1.05565140904809
278.244000000000,334.393665997070,84307.2769608391,1.05554646197176
278.237500000000,334.389760123946,84296.9261088253,1.05544152287740
278.231000000000,334.385854205198,84286.5762858725,1.05533659176456
278.224500000000,334.381948240825,84276.2274919024,1.05523166863284
278.218000000000,334.378042230826,84265.8797268368,1.05512675348180
278.211500000000,334.374136175198,84255.5329905975,1.05502184631104
278.205000000000,334.370230073941,84245.1872831061,1.05491694712013
278.198500000000,334.366323927052,84234.8426042843,1.05481205590865
278.192000000000,334.362417734529,84224.4989540541,1.05470717267618
278.185500000000,334.358511496373,84214.1563323372,1.05460229742229
278.179000000000,334.354605212580,84203.8147390552,1.05449743014658
278.172500000000,334.350698883149,84193.4741741299,1.05439257084861
278.166000000000,334.346792508078,84183.1346374832,1.05428771952797
278.159500000000,334.342886087367,84172.7961290367,1.05418287618423
278.153000000000,334.338979621013,84162.4586487122,1.05407804081698
278.146500000000,334.335073109014,84152.1221964317,1.05397321342580
278.140000000000,334.331166551370,84141.7867721167,1.05386839401026
278.133500000000,334.327259948078,84131.4523756892,1.05376358256995
278.127000000000,334.323353299138,84121.1190070708,1.05365877910444
278.120500000000,334.319446604546,84110.7866661834,1.05355398361331
278.114000000000,334.315539864302,84100.4553529489,1.05344919609615
278.107500000000,334.311633078405,84090.1250672889,1.05334441655253
278.101000000000,334.307726246852,84079.7958091254,1.05323964498203
278.094500000000,334.303819369642,84069.4675783800,1.05313488138423
278.088000000000,334.299912446773,84059.1403749747,1.05303012575872
278.081500000000,334.296005478244,84048.8141988313,1.05292537810507
278.075000000000,334.292098464053,84038.4890498715,1.05282063842286
278.068500000000,334.288191404198,84028.1649280173,1.05271590671167
278.062000000000,334.284284298679,84017.8418331903,1.05261118297108
278.055500000000,334.280377147493,84007.5197653127,1.05250646720067
278.049000000000,334.276469950638,83997.1987243060,1.05240175940002
278.042500000000,334.272562708114,83986.8787100922,1.05229705956871
278.036000000000,334.268655419918,83976.5597225931,1.05219236770632
278.029500000000,334.264748086049,83966.2417617305,1.05208768381242
278.023000000000,334.260840706506,83955.9248274264,1.05198300788661
278.016500000000,334.256933281286,83945.6089196025,1.05187833992845
278.010000000000,334.253025810388,83935.2940381810,1.05177367993754
278.003500000000,334.249118293811,83924.9801830833,1.05166902791344
277.997000000000,334.245210731553,83914.6673542316,1.05156438385574
277.990500000000,334.241303123612,83904.3555515477,1.05145974776402
277.984000000000,334.237395469986,83894.0447749534,1.05135511963785
277.977500000000,334.233487770675,83883.7350243707,1.05125049947683
277.971000000000,334.229580025676,83873.4262997214,1.05114588728052
277.964500000000,334.225672234989,83863.1186009275,1.05104128304850
277.958000000000,334.221764398610,83852.8119279107,1.05093668678037
277.951500000000,334.217856516539,83842.5062805931,1.05083209847569
277.945000000000,334.213948588775,83832.2016588967,1.05072751813405
277.938500000000,334.210040615314,83821.8980627430,1.05062294575502
277.932000000000,334.206132596157,83811.5954920543,1.05051838133819
277.925500000000,334.202224531301,83801.2939467525,1.05041382488314
277.919000000000,334.198316420744,83790.9934267593,1.05030927638945
277.912500000000,334.194408264486,83780.6939319967,1.05020473585669
277.906000000000,334.190500062524,83770.3954623867,1.05010020328445
277.899500000000,334.186591814857,83760.0980178513,1.04999567867230
277.893000000000,334.182683521483,83749.8015983123,1.04989116201983
277.886500000000,334.178775182401,83739.5062036917,1.04978665332662
277.880000000000,334.174866797609,83729.2118339114,1.04968215259225
277.873500000000,334.170958367106,83718.9184888935,1.04957765981629
277.867000000000,334.167049890889,83708.6261685597,1.04947317499833
277.860500000000,334.163141368958,83698.3348728323,1.04936869813794
277.854000000000,334.159232801310,83688.0446016329,1.04926422923471
277.847500000000,334.155324187944,83677.7553548837,1.04915976828822
277.841000000000,334.151415528859,83667.4671325067,1.04905531529805
277.834500000000,334.147506824052,83657.1799344238,1.04895087026377
277.828000000000,334.143598073523,83646.8937605569,1.04884643318497
277.821500000000,334.139689277269,83636.6086108281,1.04874200406123
277.815000000000,334.135780435290,83626.3244851594,1.04863758289213
277.808500000000,334.131871547582,83616.0413834727,1.04853316967724
277.802000000000,334.127962614146,83605.7593056900,1.04842876441615
277.795500000000,334.124053634979,83595.4782517335,1.04832436710844
277.789000000000,334.120144610079,83585.1982215249,1.04821997775369
277.782500000000,334.116235539445,83574.9192149865,1.04811559635147
277.776000000000,334.112326423076,83564.6412320400,1.04801122290138
277.769500000000,334.108417260969,83554.3642726078,1.04790685740298
277.763000000000,334.104508053124,83544.0883366116,1.04780249985587
277.756500000000,334.100598799538,83533.8134239736,1.04769815025961
277.750000000000,334.096689500210,83523.5395346158,1.04759380861380
277.743500000000,334.092780155139,83513.2666684601,1.04748947491800
277.737000000000,334.088870764322,83502.9948254288,1.04738514917180
277.730500000000,334.084961327759,83492.7240054437,1.04728083137479
277.724000000000,334.081051845447,83482.4542084270,1.04717652152653
277.717500000000,334.077142317385,83472.1854343006,1.04707221962662
277.711000000000,334.073232743571,83461.9176829867,1.04696792567463
277.704500000000,334.069323124004,83451.6509544074,1.04686363967014
277.698000000000,334.065413458682,83441.3852484846,1.04675936161273
277.691500000000,334.061503747603,83431.1205651404,1.04665509150199
