time (sec),density (kg/m^3),y acceleration (m/s^2)
137.2630482,0.637580303,0.023819925
137.2698373,0.637590238,0.023819461
137.2766263,0.637600173,0.023818995
137.2834153,0.637610108,0.023818527
137.2902044,0.637620043,0.023818057
137.2969934,0.637629978,0.023817586
137.3037824,0.637639913,0.023817113
137.3105715,0.637649848,0.023816645
137.3160347,0.637657843,0.023816272
137.3214978,0.637665838,0.023815897
137.326961,0.637673833,0.023815522
137.3324242,0.637681828,0.023815146
137.3380879,0.637690117,0.023814754
137.3437516,0.637698405,0.023814361
137.3494153,0.637706694,0.023813967
137.355079,0.637714982,0.023813572
137.3607428,0.637723271,0.023813184
137.3664065,0.63773156,0.023812798
137.3720702,0.637739848,0.023812409
137.3777339,0.637748137,0.02381202
137.385792,0.63775993,0.023811464
137.39385,0.637771723,0.023810905
137.4019081,0.637783516,0.023810343
137.4099661,0.637795309,0.02380979
137.4230357,0.637814436,0.023808895
137.4361054,0.637833564,0.023807993
137.449175,0.637852692,0.023807085
137.4622446,0.63787182,0.023806187
137.4698333,0.637882926,0.023805668
137.4774219,0.637894032,0.023805146
137.4850106,0.637905139,0.023804621
137.4925992,0.637916245,0.023804095
137.5001878,0.637927352,0.023803566
137.5077765,0.637938458,0.023803046
137.5153651,0.637949565,0.023802527
137.5229538,0.637960672,0.023802007
137.5298483,0.637970763,0.023801531
137.5367429,0.637980854,0.023801054
137.5436375,0.637990945,0.023800575
137.5505321,0.638001036,0.023800095
137.5570964,0.638010644,0.023799647
137.5636608,0.638020251,0.023799199
137.5702251,0.638029859,0.023798748
137.5767894,0.638039467,0.023798296
137.5815185,0.638046389,0.02379797
137.5862476,0.638053311,0.023797642
137.5909767,0.638060232,0.023797314
137.5957057,0.638067154,0.023796985
137.6004348,0.638074076,0.023796656
137.6051639,0.638080998,0.023796334
137.6098929,0.638087919,0.023796011
137.614622,0.638094841,0.023795688
137.6200078,0.638102724,0.023795318
137.6253937,0.638110608,0.023794947
